,exchange,hedge_type,base_currency,symbol,bid_price,ask_price,timestamp,borrow_rate,maker_fee,taker_fee,days_to_expiration,expiration_date,funding_rate,next_funding_rate_time
511,FTX,Delivery,DRGN,DRGN-0930,,,1655917761.569167,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
512,FTX,Perpetual,DYDX,DYDX-PERP,1.481,1.484,1655917761.569175,0,0.02,0.07,inf,,-6.8e-05,2022-06-22 15:00:00+00:00
513,FTX,Perpetual,EDEN,EDEN-PERP,0.07,0.0705,1655917761.569182,0,0.02,0.07,inf,,0.000194,2022-06-22 15:00:00+00:00
514,FTX,Delivery,EDEN,EDEN-0624,0.069,0.071,1655917761.569192,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
515,FTX,Perpetual,EGLD,EGLD-PERP,59.9,59.96,1655917761.569199,0,0.02,0.07,inf,,7e-06,2022-06-22 15:00:00+00:00
516,FTX,Perpetual,ENJ,ENJ-PERP,0.46605,0.46655,1655917761.569206,0,0.02,0.07,inf,,1e-06,2022-06-22 15:00:00+00:00
517,FTX,Perpetual,ENS,ENS-PERP,8.855,8.865,1655917761.569214,0,0.02,0.07,inf,,-7e-06,2022-06-22 15:00:00+00:00
518,FTX,Perpetual,EOS,EOS-PERP,0.936,0.9365,1655917761.569221,0,0.02,0.07,inf,,-2.2e-05,2022-06-22 15:00:00+00:00
519,FTX,Delivery,EOS,EOS-0624,0.934,0.93525,1655917761.56923,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
520,FTX,Delivery,EOS,EOS-0930,0.9265,0.928,1655917761.569239,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
521,FTX,Perpetual,ETC,ETC-PERP,15.3975,15.408,1655917761.569247,0,0.02,0.07,inf,,0.0,2022-06-22 15:00:00+00:00
522,FTX,Perpetual,ETH,ETH-PERP,1074.2,1074.3,1655917761.569254,0,0.02,0.07,inf,,-3e-06,2022-06-22 15:00:00+00:00
523,FTX,Delivery,ETH,ETH-0624,1073.2,1073.8,1655917761.569264,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
524,FTX,Delivery,ETH,ETH-0930,1064.3,1064.5,1655917761.569273,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
525,FTX,Delivery,ETH,ETH-1230,1070.0,1077.1,1655917761.569282,0,0.02,0.07,190.0,2022-12-30 03:00:00+00:00,,
526,FTX,Delivery,ETHE,ETHE-0624,7.15,7.3,1655917761.569292,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
527,FTX,Delivery,ETHE,ETHE-0930,7.249,7.421,1655917761.569301,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
528,FTX,Perpetual,EXCH,EXCH-PERP,6042.3,6049.6,1655917761.569327,0,0.02,0.07,inf,,-1e-06,2022-06-22 16:00:00+00:00
529,FTX,Delivery,EXCH,EXCH-0624,6029.0,6049.7,1655917761.569337,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
530,FTX,Delivery,EXCH,EXCH-0930,5921.4,5940.2,1655917761.569347,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
531,FTX,Delivery,FB,FB-0624,158.92,159.05,1655917761.569396,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
532,FTX,Delivery,FB,FB-0930,158.99,159.11,1655917761.569409,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
533,FTX,Perpetual,FIDA,FIDA-PERP,0.3433,0.3446,1655917761.569444,0,0.02,0.07,inf,,-0.000157,2022-06-22 16:00:00+00:00
534,FTX,Perpetual,FIL,FIL-PERP,5.715,5.72,1655917761.569452,0,0.02,0.07,inf,,9e-06,2022-06-22 15:00:00+00:00
535,FTX,Delivery,FIL,FIL-0624,5.44,6.01,1655917761.569462,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
536,FTX,Delivery,FIL,FIL-0930,5.72,5.81,1655917761.569471,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
537,FTX,Perpetual,FLM,FLM-PERP,0.1105,0.111,1655917761.569484,0,0.02,0.07,inf,,-7.2e-05,2022-06-22 15:00:00+00:00
538,FTX,Perpetual,FLOW,FLOW-PERP,1.485,1.49,1655917761.569491,0,0.02,0.07,inf,,-7e-05,2022-06-22 15:00:00+00:00
539,FTX,Perpetual,FTM,FTM-PERP,0.26325,0.2633,1655917761.569499,0,0.02,0.07,inf,,-7e-06,2022-06-22 15:00:00+00:00
540,FTX,Delivery,FTM,FTM-0930,0.2551,0.26895,1655917761.569508,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
541,FTX,Perpetual,FTT,FTT-PERP,25.5985,25.603,1655917761.569516,0,0.02,0.07,inf,,-6.3e-05,2022-06-22 15:00:00+00:00
